Date,Ticker,compound,neg,neu,pos
2021-04-11,AMC,0.3612,0.0,0.906,0.094
2021-04-11,AMC,0.6249,0.0,0.549,0.451
2021-04-11,AMC,0.6369,0.0,0.656,0.344
2021-04-11,AMC,0.3612,0.0,0.906,0.094
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.0477,0.14,0.727,0.133
2021-04-11,AMC,0.296,0.0,0.916,0.084
2021-04-11,AMC,0.5994,0.0,0.606,0.394
2021-04-11,AMC,0.2023,0.0,0.886,0.114
2021-04-11,AMC,0.5423,0.0,0.844,0.156
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.6249,0.0,0.814,0.186
2021-04-11,AMC,-0.5994,0.494,0.506,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,-0.1531,0.111,0.802,0.088
2021-04-11,AMC,-0.3919,0.112,0.888,0.0
2021-04-11,AMC,0.1531,0.091,0.794,0.115
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.3919,0.122,0.878,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.049,0.103,0.783,0.114
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.2263,0.091,0.909,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,-0.1169,0.085,0.85,0.065
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.8519,0.329,0.671,0.0
2021-04-11,AMC,0.5463,0.0,0.362,0.638
2021-04-11,AMC,0.3612,0.0,0.902,0.098
2021-04-11,AMC,-0.6597,0.15,0.85,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5667,0.182,0.818,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8625,0.074,0.556,0.37
2021-04-11,AMC,-0.296,0.099,0.901,0.0
2021-04-11,AMC,-0.0754,0.165,0.69,0.145
2021-04-11,AMC,-0.1531,0.078,0.922,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5667,0.182,0.818,0.0
2021-04-11,AMC,-0.5719,0.171,0.829,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8074,0.0,0.711,0.289
2021-04-11,AMC,-0.6249,0.279,0.647,0.075
2021-04-11,AMC,-0.4404,0.162,0.838,0.0
2021-04-11,AMC,0.6597,0.096,0.669,0.236
2021-04-11,AMC,0.296,0.0,0.872,0.128
2021-04-11,AMC,0.6115,0.228,0.374,0.398
2021-04-11,AMC,0.6908,0.0,0.769,0.231
2021-04-11,AMC,0.6369,0.0,0.543,0.457
2021-04-11,AMC,-0.25,0.111,0.889,0.0
2021-04-11,AMC,0.25,0.103,0.748,0.15
2021-04-11,AMC,-0.5994,0.494,0.506,0.0
2021-04-11,AMC,0.6249,0.0,0.76,0.24
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.5106,0.0,0.476,0.524
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.296,0.0,0.901,0.099
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6249,0.63,0.37,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.4404,0.0,0.873,0.127
2021-04-11,AMC,0.6697,0.0,0.71,0.29
2021-04-11,AMC,0.4588,0.0,0.824,0.176
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.872,0.0,0.632,0.368
2021-04-11,AMC,0.6369,0.0,0.741,0.259
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8176,0.0,0.681,0.319
2021-04-11,AMC,0.3612,0.0,0.667,0.333
2021-04-11,AMC,-0.1027,0.154,0.714,0.132
2021-04-11,AMC,0.8074,0.0,0.711,0.289
2021-04-11,AMC,-0.4215,0.174,0.826,0.0
2021-04-11,AMC,0.7184,0.0,0.739,0.261
2021-04-11,AMC,0.0164,0.204,0.589,0.207
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,-0.5106,0.155,0.845,0.0
2021-04-11,AMC,0.5719,0.0,0.793,0.207
2021-04-11,AMC,0.3724,0.0,0.846,0.154
2021-04-11,AMC,0.8658,0.0,0.637,0.363
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5667,0.182,0.818,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4157,0.273,0.532,0.195
2021-04-11,AMC,-0.9493,0.479,0.521,0.0
2021-04-11,AMC,-0.5667,0.182,0.818,0.0
2021-04-11,AMC,-0.7269,0.319,0.681,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.0258,0.193,0.617,0.189
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.296,0.162,0.588,0.25
2021-04-11,AMC,0.296,0.077,0.804,0.119
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6124,0.211,0.789,0.0
2021-04-11,AMC,0.34,0.0,0.844,0.156
2021-04-11,AMC,0.1531,0.091,0.794,0.115
2021-04-11,AMC,0.0258,0.094,0.807,0.099
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.7184,0.0,0.739,0.261
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.0603,0.14,0.761,0.099
2021-04-11,AMC,-0.2292,0.113,0.81,0.076
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.7003,0.0,0.766,0.234
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,-0.8832,0.507,0.493,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.296,0.0,0.855,0.145
2021-04-11,AMC,-0.4019,0.213,0.787,0.0
2021-04-11,AMC,0.3254,0.13,0.675,0.195
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.1027,0.154,0.714,0.132
2021-04-11,AMC,0.7964,0.09,0.627,0.283
2021-04-11,AMC,0.5859,0.0,0.78,0.22
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5378,0.419,0.383,0.198
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.296,0.0,0.916,0.084
2021-04-11,AMC,-0.6486,0.177,0.823,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.6597,0.0,0.775,0.225
2021-04-11,AMC,-0.5574,0.272,0.617,0.111
2021-04-11,AMC,-0.2292,0.123,0.793,0.083
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.4588,0.0,0.786,0.214
